[2026-02-06 03:26:09] 开始更新IPTV直播源
[2026-02-06 03:26:09] 正在获取: https://raw.githubusercontent.com/suxuang/myIPTV/refs/heads/main/ipv4.m3u
[2026-02-06 03:26:09] 从该源解析出 1197 个频道
[2026-02-06 03:26:10] 正在获取: https://live.zbds.top/tv/iptv4.m3u
[2026-02-06 03:26:11] 从该源解析出 659 个频道
[2026-02-06 03:26:12] 正在获取: https://bc.188766.xyz/?url=https://live.iill.top&mima=bingcha1130
[2026-02-06 03:26:13] 从该源解析出 622 个频道
[2026-02-06 03:26:14] 去重后频道: 2261
[2026-02-06 03:26:14] 质量过滤后: 2261
[2026-02-06 03:26:14] 开始并行验证 2261 个频道...
[2026-02-06 03:26:17] 已验证 20/2261 个频道
[2026-02-06 03:26:19] 已验证 40/2261 个频道
[2026-02-06 03:26:26] 已验证 60/2261 个频道
[2026-02-06 03:26:39] 已验证 80/2261 个频道
[2026-02-06 03:26:51] 已验证 100/2261 个频道
[2026-02-06 03:26:58] 已验证 120/2261 个频道
[2026-02-06 03:27:00] 已验证 140/2261 个频道
[2026-02-06 03:27:03] 已验证 160/2261 个频道
[2026-02-06 03:27:05] 已验证 180/2261 个频道
[2026-02-06 03:27:06] 已验证 200/2261 个频道
[2026-02-06 03:27:09] 已验证 220/2261 个频道
[2026-02-06 03:27:12] 已验证 240/2261 个频道
[2026-02-06 03:27:14] 已验证 260/2261 个频道
[2026-02-06 03:27:15] 已验证 280/2261 个频道
[2026-02-06 03:27:17] 已验证 300/2261 个频道
[2026-02-06 03:27:17] 已验证 320/2261 个频道
[2026-02-06 03:27:21] 已验证 340/2261 个频道
[2026-02-06 03:27:26] 已验证 360/2261 个频道
[2026-02-06 03:27:32] 已验证 380/2261 个频道
[2026-02-06 03:27:37] 已验证 400/2261 个频道
[2026-02-06 03:27:40] 已验证 420/2261 个频道
[2026-02-06 03:27:45] 已验证 440/2261 个频道
[2026-02-06 03:27:47] 已验证 460/2261 个频道
[2026-02-06 03:27:49] 已验证 480/2261 个频道
[2026-02-06 03:27:56] 已验证 500/2261 个频道
[2026-02-06 03:28:02] 已验证 520/2261 个频道
[2026-02-06 03:28:05] 已验证 540/2261 个频道
[2026-02-06 03:28:06] 已验证 560/2261 个频道
[2026-02-06 03:28:11] 已验证 580/2261 个频道
[2026-02-06 03:28:13] 已验证 600/2261 个频道
[2026-02-06 03:28:13] 已验证 620/2261 个频道
[2026-02-06 03:28:16] 已验证 640/2261 个频道
[2026-02-06 03:28:18] 已验证 660/2261 个频道
[2026-02-06 03:28:20] 已验证 680/2261 个频道
[2026-02-06 03:28:21] 已验证 700/2261 个频道
[2026-02-06 03:28:28] 已验证 720/2261 个频道
[2026-02-06 03:28:30] 已验证 740/2261 个频道
[2026-02-06 03:28:33] 已验证 760/2261 个频道
[2026-02-06 03:28:35] 已验证 780/2261 个频道
[2026-02-06 03:28:37] 已验证 800/2261 个频道
[2026-02-06 03:28:39] 已验证 820/2261 个频道
[2026-02-06 03:28:43] 已验证 840/2261 个频道
[2026-02-06 03:28:46] 已验证 860/2261 个频道
[2026-02-06 03:28:50] 已验证 880/2261 个频道
[2026-02-06 03:28:52] 已验证 900/2261 个频道
[2026-02-06 03:28:57] 已验证 920/2261 个频道
[2026-02-06 03:29:03] 已验证 940/2261 个频道
[2026-02-06 03:29:06] 已验证 960/2261 个频道
[2026-02-06 03:29:12] 已验证 980/2261 个频道
[2026-02-06 03:29:16] 已验证 1000/2261 个频道
[2026-02-06 03:29:22] 已验证 1020/2261 个频道
[2026-02-06 03:29:25] 已验证 1040/2261 个频道
[2026-02-06 03:29:31] 已验证 1060/2261 个频道
[2026-02-06 03:29:36] 已验证 1080/2261 个频道
[2026-02-06 03:29:42] 已验证 1100/2261 个频道
[2026-02-06 03:29:47] 已验证 1120/2261 个频道
[2026-02-06 03:29:50] 已验证 1140/2261 个频道
[2026-02-06 03:29:52] 已验证 1160/2261 个频道
[2026-02-06 03:29:55] 已验证 1180/2261 个频道
[2026-02-06 03:29:56] 已验证 1200/2261 个频道
[2026-02-06 03:29:59] 已验证 1220/2261 个频道
[2026-02-06 03:30:01] 已验证 1240/2261 个频道
[2026-02-06 03:30:05] 已验证 1260/2261 个频道
[2026-02-06 03:30:07] 已验证 1280/2261 个频道
[2026-02-06 03:30:08] 已验证 1300/2261 个频道
[2026-02-06 03:30:11] 已验证 1320/2261 个频道
[2026-02-06 03:30:16] 已验证 1340/2261 个频道
[2026-02-06 03:30:21] 已验证 1360/2261 个频道
[2026-02-06 03:30:24] 已验证 1380/2261 个频道
[2026-02-06 03:30:29] 已验证 1400/2261 个频道
[2026-02-06 03:30:36] 已验证 1420/2261 个频道
[2026-02-06 03:30:39] 已验证 1440/2261 个频道
[2026-02-06 03:30:43] 已验证 1460/2261 个频道
[2026-02-06 03:30:47] 已验证 1480/2261 个频道
[2026-02-06 03:30:50] 已验证 1500/2261 个频道
[2026-02-06 03:30:55] 已验证 1520/2261 个频道
[2026-02-06 03:30:59] 已验证 1540/2261 个频道
[2026-02-06 03:31:06] 已验证 1560/2261 个频道
[2026-02-06 03:31:10] 已验证 1580/2261 个频道
[2026-02-06 03:31:14] 已验证 1600/2261 个频道
[2026-02-06 03:31:18] 已验证 1620/2261 个频道
[2026-02-06 03:31:23] 已验证 1640/2261 个频道
[2026-02-06 03:31:25] 已验证 1660/2261 个频道
[2026-02-06 03:31:26] 已验证 1680/2261 个频道
[2026-02-06 03:31:26] 已验证 1700/2261 个频道
[2026-02-06 03:31:27] 已验证 1720/2261 个频道
[2026-02-06 03:31:27] 已验证 1740/2261 个频道
[2026-02-06 03:31:27] 已验证 1760/2261 个频道
[2026-02-06 03:31:28] 已验证 1780/2261 个频道
[2026-02-06 03:31:30] 已验证 1800/2261 个频道
[2026-02-06 03:31:30] 已验证 1820/2261 个频道
[2026-02-06 03:31:30] 已验证 1840/2261 个频道
[2026-02-06 03:31:31] 已验证 1860/2261 个频道
[2026-02-06 03:31:31] 已验证 1880/2261 个频道
[2026-02-06 03:31:31] 已验证 1900/2261 个频道
[2026-02-06 03:31:32] 已验证 1920/2261 个频道
[2026-02-06 03:31:32] 已验证 1940/2261 个频道
[2026-02-06 03:31:32] 已验证 1960/2261 个频道
[2026-02-06 03:31:33] 已验证 1980/2261 个频道
[2026-02-06 03:31:33] 已验证 2000/2261 个频道
[2026-02-06 03:31:33] 已验证 2020/2261 个频道
[2026-02-06 03:31:34] 已验证 2040/2261 个频道
[2026-02-06 03:31:34] 已验证 2060/2261 个频道
[2026-02-06 03:31:34] 已验证 2080/2261 个频道
[2026-02-06 03:31:35] 已验证 2100/2261 个频道
[2026-02-06 03:31:35] 已验证 2120/2261 个频道
[2026-02-06 03:31:35] 已验证 2140/2261 个频道
[2026-02-06 03:31:36] 已验证 2160/2261 个频道
[2026-02-06 03:31:36] 已验证 2180/2261 个频道
[2026-02-06 03:31:36] 已验证 2200/2261 个频道
[2026-02-06 03:31:37] 已验证 2220/2261 个频道
[2026-02-06 03:31:37] 已验证 2240/2261 个频道
[2026-02-06 03:31:37] 已验证 2260/2261 个频道
[2026-02-06 03:31:37] 验证完成: 688/2261
